"","TSS","strand","evidence","genename"
"ansBp2","3098773","reverse","experimental","ansB "
"appYp","582790","forward","computitional","appY "
"aptp","490534","forward","experimental","apt "
"aqpZp3","915356","reverse","computitional","aqpZ "
"araBp","70075","reverse","experimental","c(""araD"", "" araA"", "" araB "")"
"araCp","70241","forward","experimental","araC "
"araEp","2980230","reverse","experimental","araE "
"araJp","411753","reverse","experimental","araJ "
"arcAp1","4638531","reverse","experimental","arcA "
"arcAp2","4638535","reverse","experimental","arcA "
"arcAp3","4638558","reverse","experimental","arcA "
"arcAp4","4638622","reverse","experimental","arcA "
"arcAp5","4638704","reverse","experimental","arcA "
"arcAp6","4638711","reverse","experimental","arcA "
"arcAp7","4638824","reverse","experimental","arcA "
"argAp","2947178","forward","computitional","argA "
"argCp","4152908","forward","experimental","c(""argC"", "" argB"", "" argH "")"
"argDp","3488243","reverse","computitional","argD "
"argEp1","4152920","reverse","experimental","argE "
"argFp","289564","reverse","experimental","argF "
"argGp","3316584","forward","computitional","argG "
"argIp","4476367","reverse","experimental","argI "
"argOp","3066858","reverse","experimental","argO "
"argRp1","3382699","forward","experimental","argR "
"argSp4","1958025","forward","computitional","argS "
"argUp","563926","forward","computitional","argU "
"argWp","2464330","forward","computitional","argW "
"argXp","3980387","forward","computitional","c(""argX"", "" hisR"", "" leuT"", "" proM "")"
"aroFp","2739223","reverse","experimental","c(""tyrA"", "" aroF "")"
"aroGp","784814","forward","experimental","aroG "
"aroHp1","1786342","forward","experimental","aroH "
"aroHp2","1786408","forward","experimental","aroH "
"aroKp1","3517402","reverse","experimental","c(""trpS"", "" gph"", "" rpe"", "" dam"", "" damX"", "" aroB"", "" aroK "")"
"aroKp2","3517189","reverse","experimental","c(""trpS"", "" gph"", "" rpe"", "" dam"", "" damX"", "" aroB"", "" aroK "")"
"aroLp","405504","forward","experimental","c(""aroL"", "" yaiA"", "" aroM "")"
"aroPp1","121671","reverse","experimental","aroP "
"aroPp2","121650","reverse","experimental","aroP "
"arpAp8","4220536","reverse","computitional","arpA "
"arpAp9","4220714","reverse","computitional","arpA "
"arsRp","3646535","forward","experimental","c(""arsR"", "" arsB"", "" arsC "")"
"artJp","899849","reverse","experimental","artJ "
"artPp","902992","reverse","experimental","c(""artM"", "" artQ"", "" artI"", "" artP "")"
"ascFp","2837451","forward","experimental","c(""ascF"", "" ascB "")"
"ascGp","2837309","reverse","computitional","ascG "
"asnAp","3925152","forward","experimental","asnA "
"asnCp","3925054","reverse","experimental","c(""mnmG"", "" mioC"", "" asnC "")"
"asnTp","2042565","forward","computitional","asnT "
"asnUp","2057869","forward","computitional","asnU "
"asnVp","2060276","forward","computitional","asnV "
"aspAp","4366455","reverse","experimental","c(""dcuA"", "" aspA "")"
"aspVp","236913","forward","computitional","aspV "
"astCp1","1830037","reverse","computitional","c(""astE"", "" astB"", "" astD"", "" astA"", "" astC "")"
"atpCp1","3914082","reverse","computitional","atpC "
"atpIp","3920548","reverse","experimental","c(""atpC"", "" atpD"", "" atpG"", "" atpA"", "" atpH"", "" atpF"", "" atpE"", "" atpB"", "" atpI"")"
"azuCp","1986025","reverse","experimental","azuC "
"basSp4","4331500","reverse","computitional","basS "
"baxp5","3735244","reverse","computitional","bax "
"baxp7","3735257","reverse","computitional","bax "
"bcp","2598459","forward","experimental","bcp "
"bcsBp","3690696","reverse","computitional","c(""bcsZ"", "" bcsB "")"
"bcsEp11","3694418","forward","computitional","c(""bcsE"", "" bcsF"", "" bcsG "")"
"bcsEp8","3694345","forward","computitional","c(""bcsE"", "" bcsF"", "" bcsG "")"
"bdcAp","4472087","reverse","computitional","bdcA "
"bdcRp4","4472119","forward","computitional","bdcR "
"betAp7","326481","reverse","computitional","betA "
"betIp","328585","reverse","experimental","c(""betA"", "" betB"", "" betI "")"
"betTp","328645","forward","experimental","betT "
"bfrp3","3464771","reverse","computitional","bfr "
"bglXp","2220142","reverse","computitional","bglX "
"bhsAp8","1168204","forward","computitional","bhsA "
"bhsAp9","1168242","forward","computitional","bhsA "
"bioAp","808515","reverse","computitional","bioA "
"bioBp","808525","forward","computitional","c(""bioB"", "" bioF"", "" bioC"", "" bioD "")"
"bisCp3","3714509","reverse","computitional","bisC "
"bisCp6","3714507","reverse","computitional","bisC "
"bisCp7","3714536","reverse","computitional","bisC "
"bolAp2","453573","forward","experimental","bolA "
"bssRp5","877469","forward","computitional","bssR "
"bssSp","1120243","reverse","experimental","bssS "
"btuBp","4161422","forward","experimental","c(""btuB"", "" murI "")"
"cadBp","4358129","reverse","experimental","c(""cadA"", "" cadB "")"
"cadCp","4359986","reverse","experimental","cadC "
"caiFp","34218","forward","experimental","caiF "
"caiTp","42037","reverse","experimental","c(""caiE"", "" caiD"", "" caiC"", "" caiB"", "" caiA"", "" caiT "")"
"carAp1","29551","forward","experimental","c(""carA"", "" carB "")"
"carAp2","29619","forward","experimental","c(""carA"", "" carB "")"
"casp","2882341","reverse","experimental","c(""cas2"", "" cas1"", "" casE"", "" casD"", "" casC"", "" casB"", "" casA "")"
"cblp","2058965","reverse","experimental","cbl "
"cbpAp1","1063056","reverse","experimental","c(""cbpM"", "" cbpA "")"
"cbrBp3","3895502","forward","computitional","c(""cbrB"", "" cbrC "")"
"cddp","2229841","forward","experimental","cdd "
"cdsAp2","195561","forward","computitional","cdsA "
"cdsAp3","195555","forward","computitional","cdsA "
"cedAp","1811766","reverse","computitional","cedA "
"chiAp","3467918","reverse","experimental","chiA "
"chop","1821516","forward","computitional","cho "
"chpSp1","4446425","forward","computitional","c(""chpS"", "" chpB "")"
"chpSp2","4446451","forward","computitional","c(""chpS"", "" chpB "")"
"cirAp1","2244964","reverse","experimental","cirA "
"cirAp2","2244951","reverse","experimental","cirA "
"citTp6","645826","reverse","computitional","citT "
"clcAp10","175052","forward","computitional","clcA "
"cldp6","2096399","reverse","computitional","cld "
"clpAp1","922303","forward","experimental","clpA "
"clpPp1","455801","forward","experimental","c(""clpP"", "" clpX "")"
"clpSp6","921973","forward","computitional","clpS "
"clsp","1306691","reverse","experimental","c(""yciU"", "" cls "")"
"cmkp","960388","forward","experimental","c(""cmk"", "" rpsA "")"
"cnup10","1702836","forward","computitional","cnu "
"cnup7","1702897","forward","computitional","cnu "
"cnup8","1702888","forward","computitional","cnu "
"cnup9","1702785","forward","computitional","cnu "
"cobTp8","2062625","reverse","computitional","cobT "
"cobUp1","2063898","reverse","experimental","c(""cobT"", "" cobS"", "" cobU "")"
"cobUp2","2063996","reverse","experimental","c(""cobT"", "" cobS"", "" cobU "")"
"codBp","354108","forward","experimental","c(""codB"", "" codA "")"
"cohEp8","1202178","reverse","computitional","ymfK "
"cohEp9","1202237","reverse","computitional","ymfK "
"corAp","3999217","forward","computitional","corA "
"cpdBp","4434652","reverse","experimental","cpdB "
"cpxPp","4103808","forward","experimental","cpxP "
"cpxRp","4103709","reverse","computitional","c(""cpxA"", "" cpxR "")"
"crcBp3","657221","reverse","computitional","crcB "
"creAp","4633500","forward","computitional","c(""creA"", "" creB"", "" creC"", "" creD "")"
"croEp5","1202229","forward","computitional","c(""ymfT"", "" ymfL"", "" ymfM"", "" ymfN"", "" ymfR"", "" ymfO"", "" ymfP"", "" ymfQ"", "" ycfK"", "" ymfS "")"
"crpp1","3483975","forward","experimental","crp "
"csdAp3","2941229","forward","computitional","c(""csdA"", "" csdE "")"
"cspAp1","3717912","forward","experimental","cspA "
"cspAp2","3717963","forward","experimental","cspA "
"cspCp8","1905533","reverse","computitional","cspC "
"cspDp","921899","reverse","experimental","cspD "
"cspEp1","656370","forward","computitional","cspE "
"cspEp2","656473","forward","experimental","cspE "
"cspFp6","1639789","forward","computitional","cspF "
"cspFp7","1639714","forward","computitional","cspF "
"cspHp10","1050501","reverse","computitional","cspH "
"cspHp9","1050553","reverse","computitional","cspH "
"csrAp2","2817392","reverse","experimental","csrA "
"csrAp5","2817211","reverse","experimental","csrA "
"csrBp","2922546","reverse","experimental","csrB "
"csrDp4","3401447","reverse","computitional","csrD "
"cstAp2","629087","forward","experimental","cstA "
"cstAp3","629096","forward","experimental","cstA "
"cueRp6","513198","forward","computitional","cueR "
"cusCp","594796","forward","experimental","c(""cusC"", "" cusF"", "" cusB"", "" cusA "")"
"cusRp","594685","reverse","experimental","c(""cusS"", "" cusR "")"
"cutAp","4363415","reverse","experimental","cutA "
"cutCp2","1957291","reverse","computitional","cutC "
"cvpAp1","2428822","reverse","experimental","c(""ubiX"", "" purF"", "" cvpA "")"
"cvrAp6","1241387","reverse","computitional","cvrA "
"cyaAp","3989022","forward","experimental","cyaA "
"cyaAp2","3988797","forward","experimental","cyaA "
"cyaYp5","3992106","reverse","computitional","cyaY "
"cybBp6","1488911","forward","computitional","cybB "
"cydAp1","770393","forward","experimental","c(""cydA"", "" cydB "")"
"cydAp2","770507","forward","experimental","c(""cydA"", "" cydB "")"
"cydAp3","770425","forward","experimental","c(""cydA"", "" cydB "")"
"cydAp4","770436","forward","experimental","c(""cydA"", "" cydB "")"
"cydAp5","770591","forward","experimental","c(""cydA"", "" cydB "")"
"cydDp","930254","reverse","experimental","c(""cydC"", "" cydD "")"
"cynRp","357933","reverse","experimental","cynR "
"cynTp","357997","forward","experimental","c(""cynT"", "" cynS"", "" cynX "")"
"cyoAp","450877","reverse","experimental","c(""cyoE"", "" cyoD"", "" cyoC"", "" cyoB"", "" cyoA "")"
"cyoEp3","446994","reverse","computitional","cyoE "
"cysBp","1331812","forward","computitional","cysB "
"cysDp","2874390","reverse","experimental","c(""cysC"", "" cysN"", "" cysD "")"
"cysGp1","3495776","forward","experimental","cysG "
"cysJp","2889986","reverse","experimental","c(""cysH"", "" cysI"", "" cysJ "")"
"cysKp1","2530399","forward","experimental","cysK "
"cysPp","2541579","reverse","experimental","c(""cysM"", "" cysA"", "" cysW"", "" cysU"", "" cysP "")"
"cytRp","4122532","reverse","experimental","cytR "
"dacAp3","663224","reverse","computitional","dacA "
"dacCp","879876","forward","computitional","dacC "
"dadAp1","1236732","forward","experimental","c(""dadA"", "" dadX "")"
"dadAp2","1236748","forward","experimental","c(""dadA"", "" dadX "")"
"dadAp3","1236761","forward","experimental","c(""dadA"", "" dadX "")"
"damXp","3515622","reverse","experimental","c(""trpS"", "" gph"", "" rpe"", "" dam"", "" damX "")"
"damp1","3514274","reverse","experimental","c(""trpS"", "" gph"", "" rpe"", "" dam "")"
"damp2","3514004","reverse","experimental","c(""trpS"", "" gph"", "" rpe"", "" dam "")"
"dapAp","2597806","reverse","experimental","c(""bamC"", "" dapA "")"
"dapBp1","28343","forward","experimental","dapB "
"dapBp2","28288","forward","experimental","dapB "
"dapDp","185977","reverse","experimental","dapD "
"dapEp","2589582","forward","experimental","c(""dapE"", "" ypfN "")"
"dctAp","3681521","reverse","experimental","dctA "
"dcuDp","3372788","forward","computitional","dcuD "
"dcuRp","4348588","reverse","experimental","dcuR "
"dcuSp","4349708","reverse","experimental","c(""dcuR"", "" dcuS "")"
"dedDp3","2429897","reverse","computitional","dedD "
"defp","3431672","forward","experimental","c(""def"", "" fmt "")"
"deoCp1","4614702","forward","experimental","c(""deoC"", "" deoA"", "" deoB"", "" deoD "")"
"deoCp2","4615301","forward","experimental","c(""deoC"", "" deoA"", "" deoB"", "" deoD "")"
"dgsAp1","1666627","reverse","experimental","dgsA "
"dicBp","1647621","forward","experimental","c(""dicB"", "" ydfD"", "" ydfE"", "" insD"", "" intQ "")"
"dinGp","832296","forward","computitional","dinG "
"dinIp","1120732","reverse","experimental","dinI "
"dinJp","246615","reverse","computitional","c(""yafQ"", "" dinJ "")"
"djlAp3","57268","forward","computitional","djlA "
"dksAp2","160657","reverse","experimental","c(""yadB"", "" dksA "")"
"dldp6","2220174","forward","computitional","dld "
"dldp7","2220104","forward","computitional","dld "
"dmlRp3","1879879","reverse","computitional","dmlR "
"dmsAp1","940046","forward","experimental","c(""dmsA"", "" dmsB"", "" dmsC "")"
"dnaNp3","3880585","reverse","experimental","c(""recF"", "" dnaN "")"
"dppAp","3705893","reverse","experimental","c(""dppF"", "" dppD"", "" dppC"", "" dppB"", "" dppA "")"
"dsbAp","4041400","forward","experimental","dsbA "
"dsbBp6","1232370","reverse","computitional","dsbB "
"dsdAp","2477143","forward","experimental","dsdA "
"dsdCp","2475768","reverse","computitional","dsdC "
"dsdXp","2475843","forward","experimental","c(""dsdX"", "" dsdA "")"
"dsrAp","2023337","reverse","experimental","dsrA "
"dtpDp5","741845","reverse","computitional","dtpD "
"dtpDp6","741846","reverse","computitional","dtpD "
"dtpDp8","741893","reverse","computitional","dtpD "
"dusAp6","4259681","forward","computitional","dusA "
"dusBp","3408268","forward","experimental","c(""dusB"", "" fis "")"
"dutp","3811875","forward","computitional","c(""dut"", "" slmA "")"
"dxrp3","193335","forward","computitional","dxr "
"ebgAp","3220573","forward","computitional","c(""ebgA"", "" ebgC "")"
"ecop5","2301819","forward","computitional","eco "
"ecpDp1","156235","reverse","experimental","c(""htrE"", "" ecpD "")"
"ecpDp3","156214","reverse","experimental","c(""htrE"", "" ecpD "")"
"eddp1","1932737","reverse","experimental","c(""eda"", "" edd "")"
"efeOp1","1081466","forward","computitional","c(""efeO"", "" efeB "")"
"efeU_1p","1080530","forward","experimental","c(""efeU_1"", "" efeU_2 "")"
"efpp","4373590","forward","computitional","efp "
"elaAp3","2379636","reverse","computitional","elaA "
"elaDp8","2380676","forward","computitional","elaD "
"elfAp7","997031","forward","computitional","elfA "
"elfAp8","997037","forward","computitional","elfA "
"emtAp4","1242348","forward","computitional","emtA "
"entCp","624054","forward","experimental","c(""entC"", "" entE"", "" entB"", "" entA"", "" entH "")"
"entDp2","138723","reverse","computitional","entD "
"entSp1","621481","forward","experimental","entS "
"entSp2","621476","forward","experimental","entS "
"envRp12","3411624","reverse","computitional","envR "
"envRp14","3411655","reverse","computitional","envR "
"envRp15","3411643","reverse","computitional","envR "
"envRp9","3411629","reverse","computitional","envR "
"eptBp","3708604","reverse","experimental","eptB "
"erfKp4","2061378","reverse","computitional","erfK "
"evgAp2","2481653","forward","experimental","c(""evgA"", "" evgS "")"
"exbBp","3150036","reverse","computitional","c(""exbD"", "" exbB "")"
"fabAp","1015721","reverse","computitional","fabA "
"fabBp","2439663","reverse","experimental","fabB "
"fadBp","4029036","reverse","experimental","c(""fadA"", "" fadB "")"
"fadDp","1887831","reverse","experimental","c(""sroD"", "" fadD "")"
"fadIp","2458533","reverse","computitional","c(""fadJ"", "" fadI "")"
"fadRp","1234128","forward","experimental","fadR "
"fdhEp1","4079384","reverse","computitional","fdhE "
"fdnGp","1545396","forward","experimental","c(""fdnG"", "" fdnH"", "" fdnI "")"
"fdrAp4","545730","forward","computitional","c(""fdrA"", "" ylbE_1"", "" ylbE_2"", "" ylbF"", "" ybcF "")"
"fecEp5","4509662","reverse","computitional","fecE "
"fecIp","4516305","reverse","experimental","c(""fecR"", "" fecI "")"
"feoAp","3538079","forward","computitional","c(""feoA"", "" feoB"", "" feoC "")"
"fepAp","611890","reverse","experimental","c(""entD"", "" fepA "")"
"fepBp","623950","reverse","experimental","fepB "
"fepDp1","621457","reverse","experimental","c(""fepC"", "" fepG"", "" fepD "")"
"fepDp2","621415","reverse","experimental","c(""fepC"", "" fepG"", "" fepD "")"
"fesp","611910","forward","experimental","c(""fes"", "" ybdZ"", "" entF"", "" fepE "")"
"ffsp6","475512","forward","computitional","ffs "
"ffsp7","475646","forward","computitional","ffs "
"fhuAp","167442","forward","computitional","c(""fhuA"", "" fhuC"", "" fhuD"", "" fhuB "")"
"fhuFp","4603717","reverse","experimental","fhuF "
"fhuFp2","4603775","reverse","computitional","fhuF "
"fieFp3","4104455","forward","computitional","fieF "
"fieFp4","4104472","forward","computitional","fieF "
"fimAp","4540717","forward","experimental","c(""fimA"", "" fimI"", "" fimC"", "" fimD"", "" fimF"", "" fimG"", "" fimH "")"
"fimBp1","4538832","forward","experimental","fimB "
"fimEp","4539894","forward","experimental","fimE "
"fiup","840871","reverse","computitional","fiu "
"fixAp","42325","forward","experimental","c(""fixA"", "" fixB"", "" fixC"", "" fixX "")"
"fldBp","3037844","forward","experimental","fldB "
"flgAp","1130108","reverse","computitional","c(""flgN"", "" flgM"", "" flgA "")"
"flgBp","1130216","forward","computitional","c(""flgB"", "" flgC"", "" flgD"", "" flgE"", "" flgF"", "" flgG"", "" flgH"", "" flgI"", "" flgJ "")"
"flhDp","1976419","reverse","experimental","c(""flhC"", "" flhD "")"
"fliAp1","1999843","reverse","experimental","c(""fliY"", "" fliZ"", "" fliA "")"
"fliDp","2001841","forward","computitional","c(""fliD"", "" fliS"", "" fliT "")"
"fliEp1","2011060","reverse","computitional","fliE "
"fliFp1","2011170","forward","computitional","c(""fliF"", "" fliG"", "" fliH"", "" fliI"", "" fliJ"", "" fliK "")"
"fliLp1","2017608","forward","experimental","c(""fliL"", "" fliM"", "" fliN"", "" fliO"", "" fliP"", "" fliQ"", "" fliR "")"
"flup","2069341","forward","experimental","flu "
"fnrSp","1407153","forward","experimental","fnrS "
"fnrp","1397576","reverse","computitional","fnr "
"focAp1","953716","reverse","experimental","c(""pflB"", "" focA "")"
"focAp2","953726","reverse","experimental","c(""pflB"", "" focA "")"
"focAp3","954037","reverse","experimental","c(""pflB"", "" focA "")"
"folAp","49799","forward","computitional","folA "
"folBp5","3202670","reverse","computitional","folB "
"folEp","2241870","reverse","computitional","c(""yeiB"", "" folE "")"
"fprp","4112522","reverse","computitional","fpr "
"frcp","2491461","reverse","experimental","frc "
"frdAp","4380435","reverse","experimental","c(""frdD"", "" frdC"", "" frdB"", "" frdA "")"
"frdDp7","4377497","reverse","computitional","frdD "
"frlAp13","3497857","forward","computitional","c(""frlA"", "" frlB"", "" frlC"", "" frlD"", "" frlR "")"
"frrp3","192812","forward","computitional","frr "
"frsAp","256502","forward","computitional","frsA "
"fruBp","2261619","reverse","computitional","c(""fruA"", "" fruK"", "" fruB "")"
"fsrp5","504076","reverse","computitional","fsr "
"fsrp6","504071","reverse","computitional","fsr "
"ftnAp","1986706","forward","computitional","ftnA "
"ftnBp2","1984823","forward","experimental","ftnB "
"ftsHp4","3325000","reverse","computitional","ftsH "
"ftsKp1","932361","forward","experimental","ftsK "
"ftsKp2","932152","forward","experimental","ftsK "
"ftsKp3","932441","forward","computitional","ftsK "
"fucAp","2931876","reverse","computitional","c(""fucO"", "" fucA "")"
"fucPp","2932141","forward","computitional","c(""fucP"", "" fucI"", "" fucK"", "" fucU"", "" fucR "")"
"fumAp","1686464","reverse","experimental","fumA "
"fumBp","4345371","reverse","computitional","fumB "
"furpa","709939","reverse","experimental","fur "
"furpb","709946","reverse","experimental","fur "
"gadEp2","3656065","forward","experimental","gadE "
"gadEp3","3655823","forward","experimental","gadE "
"gadEp4","3656085","forward","experimental","c(""gadE"", "" mdtE"", "" mdtF "")"
"galEp2","791309","reverse","computitional","c(""galM"", "" galK"", "" galT"", "" galE "")"
"galPp","3086277","forward","experimental","galP "
"galRp","2974591","forward","experimental","galR "
"galSp","2239732","reverse","experimental","galS "
"gapAp3","1860621","forward","experimental","gapA "
"gapAp4","1860550","forward","experimental","gapA "
"garPp","3272956","reverse","computitional","c(""RnpB"", "" garK"", "" garR"", "" garL"", "" garP "")"
"gatYp","2175256","reverse","experimental","c(""gatD"", "" gatC"", "" gatB"", "" gatA"", "" gatZ"", "" gatY "")"
"gcdp1","141263","reverse","experimental","gcd "
"gclp","533131","forward","computitional","c(""gcl"", "" hyi"", "" glxR"", "" ybbV"", "" ybbW"", "" allB"", "" ybbY"", "" glxK "")"
"gcpp2","3208650","reverse","computitional","gcp "
"gcpp3","3208590","reverse","computitional","gcp "
"gcvAp","2940661","reverse","experimental","gcvA "
"gcvBp","2940718","forward","experimental","gcvB "
"gcvRp","2597901","forward","experimental","gcvR "
"gcvTp","3048794","reverse","experimental","c(""gcvP"", "" gcvH"", "" gcvT "")"
"gdhAp1","1840332","forward","experimental","gdhA "
"gfcDp3","1047341","reverse","computitional","gfcD "
"ghrAp6","1097047","forward","computitional","ghrA "
"glcAp10","3119386","reverse","computitional","glcA "
"glcCp","3126228","forward","experimental","glcC "
"glcDp","3126098","reverse","experimental","c(""glcA"", "" glcB"", "" glcG"", "" glcF"", "" glcE"", "" glcD "")"
"glgAp","3566415","reverse","experimental","c(""glgP"", "" glgA "")"
"glgBp","3571680","reverse","experimental","c(""glgP"", "" glgA"", "" glgC"", "" glgX"", "" glgB "")"
"glgCp1","3567412","reverse","experimental","c(""glgP"", "" glgA"", "" glgC "")"
"glmUp1","3913246","reverse","experimental","c(""glmS"", "" glmU "")"
"glmUp2","3913349","reverse","experimental","c(""glmS"", "" glmU "")"
"glmYp2","2689362","reverse","experimental","glmY "
"glmZp","3984455","forward","experimental","glmZ "
"glnAp1","4056245","reverse","experimental","c(""glnG"", "" glnL"", "" glnA "")"
"glnBp1","2685463","reverse","experimental","glnB "
"glnBp2","2685525","reverse","experimental","glnB "
"glnEp6","3197823","reverse","computitional","glnE "
"glnLp","4054394","reverse","experimental","c(""glnG"", "" glnL "")"
"glnQp","845854","reverse","computitional","glnQ "
"gloAp","1725825","forward","computitional","gloA "
"gloBp5","234926","reverse","computitional","gloB "
"glpABCp","2350605","forward","computitional","c(""glpA"", "" glpB"", "" glpC "")"
"glpDp","3559994","forward","experimental","glpD "
"glpFp","4116184","reverse","experimental","c(""glpX"", "" glpK"", "" glpF "")"
"glpTQp","2350473","reverse","computitional","c(""glpQ"", "" glpT "")"
"glrKp","2689145","reverse","experimental","glrK "
"gltAp1","753990","reverse","experimental","gltA "
"gltBp","3352531","forward","experimental","c(""gltB"", "" gltD"", "" gltF "")"
"gltIp1","273224","reverse","computitional","c(""gltL"", "" gltK"", "" gltJ"", "" sroC"", "" gltI "")"
"gltPp6","4292330","forward","computitional","gltP "
"gltSp3","3826714","reverse","computitional","gltS "
"gltXp1","2518806","reverse","experimental","gltX "
"gltXp2","2518798","reverse","experimental","gltX "
"gltXp3","2518752","reverse","experimental","gltX "
"glyAp","2683596","reverse","experimental","glyA "
"glyQp","3723377","reverse","computitional","c(""glyS"", "" glyQ "")"
"glyUp","2997086","reverse","computitional","glyU "
"glyVp","4390336","forward","computitional","c(""glyV"", "" glyX"", "" glyY "")"
"glyWp","1990204","reverse","computitional","c(""leuZ"", "" cysT"", "" glyW "")"
"gmkp","3819411","forward","computitional","gmk "
"gndp","2099348","reverse","experimental","gnd "
"gntKp","3575668","reverse","experimental","c(""gntU"", "" gntK "")"
"gntPp","4549357","reverse","experimental","gntP "
"gntRp1","3576772","reverse","computitional","c(""gntU"", "" gntK"", "" gntR "")"
"gntRp2","3576841","reverse","experimental","gntR "
"gntTp1","3544427","forward","experimental","gntT "
"gntXp","3542689","forward","computitional","c(""gntX"", "" nfuA "")"
"gorp","3644135","forward","computitional","gor "
"gpsAp5","3781833","reverse","computitional","gpsA "
"gptp","255914","forward","computitional","gpt "
"greAp1","3326886","reverse","experimental","greA "
"grxBp","1123326","reverse","computitional","grxB "
"grxBp2","1123325","reverse","computitional","grxB "
"grxBp4","1123306","reverse","computitional","grxB "
"grxCp2","3782599","reverse","computitional","grxC "
"grxD","1732186","reverse","computitional","grxD "
"gspAp1","3453541","reverse","experimental","c(""gspB"", "" gspA "")"
"gspAp2","3453532","reverse","experimental","c(""gspB"", "" gspA "")"
"gspCp2","3453549","forward","experimental","c(""gspC"", "" gspD"", "" gspE"", "" gspF"", "" gspG"", "" gspH"", "" gspI"", "" gspJ"", "" gspK"", "" gspL"", "" gspM"", "" gspO "")"
"gspCp3","3453553","forward","experimental","c(""gspC"", "" gspD"", "" gspE"", "" gspF"", "" gspG"", "" gspH"", "" gspI"", "" gspJ"", "" gspK"", "" gspL"", "" gspM"", "" gspO "")"
"guaBp","2632129","reverse","experimental","c(""guaA"", "" guaB "")"
"gyrAp","2337479","reverse","experimental","gyrA "
"hchAp","2033804","forward","experimental","hchA "
"hdeDp","3654983","forward","experimental","hdeD "
"hemAp1","1262899","forward","experimental","c(""hemA"", "" prfA"", "" prmC "")"
"hemBp7","389085","reverse","computitional","hemB "
"hemFp","2551227","forward","experimental","hemF "
"hemHp","497255","forward","experimental","hemH "
"hemNp","4049966","forward","experimental","hemN "
"hepAp","63358","reverse","experimental","c(""rluA"", "" hepA "")"
"hflDp","1191909","reverse","experimental","c(""purB"", "" hflD "")"
"hfqp2","4397824","forward","experimental","c(""hfq"", "" hflX"", "" hflK"", "" hflC "")"
"hfqp3","4398243","forward","experimental","c(""hfq"", "" hflX"", "" hflK"", "" hflC "")"
"hhap6","479727","reverse","computitional","hha "
"hicAp","1507245","forward","experimental","c(""hicA"", "" hicB "")"
"hinTp1","1161044","forward","computitional","c(""hinT"", "" ycfL"", "" lpoB"", "" thiK"", "" nagZ"", "" ycfP "")"
"hinTp2","1161046","forward","computitional","c(""hinT"", "" ycfL"", "" lpoB"", "" thiK"", "" nagZ"", "" ycfP "")"
"hinTp3","1161050","forward","computitional","c(""hinT"", "" ycfL"", "" lpoB"", "" thiK"", "" nagZ"", "" ycfP "")"
